tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
l,,PRO.14,,ftln-0014,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.14,What,fs-rom-0002030,,what,#crq-q,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,here,fs-rom-0002050,,here,#av,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,shall,fs-rom-0002070,,shall,#vmb,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,miss,fs-rom-0002090,,miss,#vvi,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.14,",",fs-rom-0002100,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,our,fs-rom-0002120,,our,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,toil,fs-rom-0002140,,toil,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,shall,fs-rom-0002160,,shall,#vmb,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,strive,fs-rom-0002180,,strive,#vvi,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,to,fs-rom-0002200,,to,#acp-cs,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.14,mend,fs-rom-0002220,,mend,#vvi,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.14,.,fs-rom-0002230,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
stage,exit,SD PRO.14.1,,stg-0014.1,{'#Chorus_Rom'},,,,,,0,0,,2,
w,,SD PRO.14.1,Chorus,fs-rom-0002240,,,,,,,0,0,,2,
c,,, ,,,,,,,,0,0,,2,
w,,SD PRO.14.1,exits,fs-rom-0002260,,,,,,,0,0,,2,
pc,,SD PRO.14.1,.,fs-rom-0002270,,,,,,,0,0,,2,
div,act,1,,,,,,,,,1,0,,2,
div,scene,1,,,,,,,,,1,1,,2,
stage,entrance,SD 1.1.0,,stg-0014.2,"{'#SERVANTS.CAPULET.Sampson_Rom', '#SERVANTS.CAPULET.Gregory_Rom'}",,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,Enter,fs-rom-0002340,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,Sampson,fs-rom-0002360,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,and,fs-rom-0002380,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,Gregory,fs-rom-0002400,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
pc,,SD 1.1.0,",",fs-rom-0002410,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,with,fs-rom-0002430,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,swords,fs-rom-0002450,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,and,fs-rom-0002470,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,bucklers,fs-rom-0002490,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
pc,,SD 1.1.0,",",fs-rom-0002500,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,of,fs-rom-0002510,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
