tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
lb,,1.1.14,,ftln-0014,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.14,sleepy,fs-wt-0002190,,sleepy,#j,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,drinks,fs-wt-0002210,,drink,#n2,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.14,",",fs-wt-0002220,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,that,fs-wt-0002240,,that,#cs,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,your,fs-wt-0002260,,your,#po,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,senses,fs-wt-0002280,,sense,#n2,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.14,",",fs-wt-0002290,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,unintelligent,fs-wt-0002310,,unintelligent,#j,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,of,fs-wt-0002330,,of,#acp-p,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.14,our,fs-wt-0002350,,our,#po,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
lb,,1.1.15,,ftln-0015,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.15,insufficience,fs-wt-0002360,,insufficience,#n1,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
