source,target,n_lines,n_tokens,edge_type
1.01.0004,#Shallow_2H4,2,9,passive
1.01.0004,#Slender_Wiv,2,9,passive
1.01.0005,#Bardolph_1H4,1,7,passive
1.01.0005,#Falstaff_1H4,1,7,passive
1.01.0005,#HughEvans_Wiv,1,7,passive
1.01.0005,#MasterPage_Wiv,1,7,passive
1.01.0005,#Nym_H5,1,7,passive
1.01.0005,#Pistol_2H4,1,7,passive
1.01.0005,#Shallow_2H4,1,7,passive
1.01.0006,#Bardolph_1H4,6,43,passive
1.01.0006,#Falstaff_1H4,4,28,passive
1.01.0006,#HughEvans_Wiv,6,43,passive
1.01.0006,#MasterPage_Wiv,2,15,passive
1.01.0006,#MistressFord_Wiv,6,43,passive
1.01.0006,#MistressPage_Wiv,6,43,passive
1.01.0006,#Nym_H5,6,43,passive
1.01.0006,#Pistol_2H4,6,43,passive
1.01.0006,#Shallow_2H4,6,43,passive
1.01.0006,#Slender_Wiv,6,43,passive
1.01.0007,#HughEvans_Wiv,2,15,passive
1.01.0007,#Shallow_2H4,2,15,passive
1.01.0008,#HughEvans_Wiv,40,299,passive
1.01.0008,#Shallow_2H4,45,340,passive
1.01.0008,#Simple_Wiv,55,411,passive
1.01.0008,#Slender_Wiv,34,240,passive
1.01.0009,#AnnePage_Wiv,5,33,passive
1.01.0009,#HughEvans_Wiv,5,34,passive
1.01.0009,#Shallow_2H4,4,23,passive
1.01.0009,#Simple_Wiv,7,45,passive
1.01.0009,#Slender_Wiv,7,45,passive
1.01.0010,#AnnePage_Wiv,5,32,passive
1.01.0010,#Simple_Wiv,8,46,passive
1.01.0010,#Slender_Wiv,3,14,passive
1.01.0011,#AnnePage_Wiv,22,191,passive
1.01.0011,#Slender_Wiv,5,34,passive
1.01.0012,#AnnePage_Wiv,12,69,passive
1.01.0012,#MasterPage_Wiv,9,57,passive
1.01.0012,#Slender_Wiv,7,34,passive
1.02.0013,#HughEvans_Wiv,1,2,passive
1.02.0013,#Simple_Wiv,12,100,passive
1.03.0014,#Bardolph_1H4,14,87,passive
1.03.0014,#Falstaff_1H4,9,59,passive
1.03.0014,#Host_Wiv,5,28,passive
1.03.0014,#Nym_H5,14,87,passive
1.03.0014,#Pistol_2H4,14,87,passive
1.03.0014,#Robin_Wiv,14,87,passive
1.03.0015,#Bardolph_1H4,5,33,passive
1.03.0015,#Falstaff_1H4,3,20,passive
1.03.0015,#Nym_H5,6,44,passive
1.03.0015,#Pistol_2H4,4,35,passive
1.03.0015,#Robin_Wiv,6,44,passive
1.03.0016,#Falstaff_1H4,25,144,passive
1.03.0016,#Nym_H5,55,428,passive
1.03.0016,#Pistol_2H4,52,406,passive
1.03.0016,#Robin_Wiv,66,489,passive
1.03.0017,#Nym_H5,13,73,passive
1.03.0017,#Pistol_2H4,8,59,passive
1.04.0018,#Simple_Wiv,1,3,passive
1.04.0019,#MistressQuickly_1H4,1,3,passive
1.04.0019,#Rugby_Wiv,8,64,passive
1.04.0019,#Simple_Wiv,9,67,passive
1.04.0020,#MistressQuickly_1H4,8,55,passive
1.04.0020,#Simple_Wiv,18,131,passive
1.04.0021,#MistressQuickly_1H4,1,6,passive
1.04.0021,#Rugby_Wiv,6,46,passive
1.04.0021,#Simple_Wiv,7,52,passive
1.04.0022,#Simple_Wiv,1,6,passive
1.04.0023,#DoctorCaius_Wiv,4,26,passive
1.04.0023,#MistressQuickly_1H4,4,35,passive
1.04.0023,#Simple_Wiv,8,61,passive
1.04.0024,#Simple_Wiv,2,19,passive
1.04.0025,#DoctorCaius_Wiv,2,8,passive
1.04.0025,#MistressQuickly_1H4,2,12,passive
1.04.0025,#Simple_Wiv,4,20,passive
1.04.0026,#DoctorCaius_Wiv,2,9,passive
1.04.0026,#MistressQuickly_1H4,9,58,passive
1.04.0026,#Rugby_Wiv,7,49,passive
1.04.0026,#Simple_Wiv,9,58,passive
1.04.0027,#Rugby_Wiv,2,11,passive
1.04.0027,#Simple_Wiv,2,11,passive
1.04.0028,#DoctorCaius_Wiv,30,230,passive
1.04.0028,#MistressQuickly_1H4,26,166,passive
1.04.0028,#Rugby_Wiv,50,356,passive
1.04.0028,#Simple_Wiv,44,316,passive
1.04.0029,#DoctorCaius_Wiv,5,31,passive
1.04.0029,#MistressQuickly_1H4,9,76,passive
1.04.0029,#Rugby_Wiv,14,107,passive
1.04.0031,#Fenton_Wiv,22,168,passive
1.04.0031,#MistressQuickly_1H4,11,73,passive
2.01.0034,#MistressFord_Wiv,40,312,passive
2.01.0034,#MistressPage_Wiv,37,288,passive
2.01.0035,#MasterFord_Wiv,16,95,passive
2.01.0035,#MasterPage_Wiv,20,115,passive
2.01.0035,#MistressFord_Wiv,20,115,passive
2.01.0035,#MistressPage_Wiv,20,115,passive
2.01.0035,#Nym_H5,20,115,passive
2.01.0035,#Pistol_2H4,4,20,passive
2.01.0036,#MasterFord_Wiv,9,81,passive
2.01.0036,#MasterPage_Wiv,10,90,passive
2.01.0036,#MistressFord_Wiv,10,90,passive
2.01.0036,#MistressPage_Wiv,10,90,passive
2.01.0036,#Nym_H5,1,9,passive
2.01.0037,#MasterFord_Wiv,16,85,passive
2.01.0037,#MasterPage_Wiv,13,67,passive
2.01.0037,#MistressFord_Wiv,17,90,passive
2.01.0037,#MistressPage_Wiv,17,94,passive
2.01.0038,#MasterFord_Wiv,8,49,passive
2.01.0038,#MasterPage_Wiv,8,49,passive
2.01.0038,#MistressFord_Wiv,7,40,passive
2.01.0038,#MistressPage_Wiv,3,19,passive
2.01.0038,#MistressQuickly_1H4,6,39,passive
2.01.0039,#MasterFord_Wiv,11,90,passive
2.01.0039,#MasterPage_Wiv,9,70,passive
2.01.0040,#Host_Wiv,4,30,passive
2.01.0040,#MasterFord_Wiv,6,41,passive
2.01.0040,#MasterPage_Wiv,2,11,passive
2.01.0041,#Host_Wiv,26,208,passive
2.01.0041,#MasterFord_Wiv,31,225,passive
2.01.0041,#MasterPage_Wiv,31,242,passive
2.01.0041,#Shallow_2H4,17,117,passive
2.02.0043,#Falstaff_1H4,5,30,passive
2.02.0043,#Pistol_2H4,25,222,passive
2.02.0044,#Falstaff_1H4,1,8,passive
2.02.0044,#Pistol_2H4,2,11,passive
2.02.0044,#Robin_Wiv,1,3,passive
2.02.0045,#Falstaff_1H4,77,656,passive
