act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
5,1,82,#Bardolph_1H4,0,0,49,7
5,1,82,#SERVANTS.FALSTAFF.1_2H4,0,0,49,7
5,1,83,#Bardolph_1H4,0,0,347,47
5,1,83,#Falstaff_1H4,0,0,347,47
5,1,83,#SERVANTS.FALSTAFF.1_2H4,0,0,347,47
5,1,84,#SERVANTS.FALSTAFF.1_2H4,0,0,50,8
5,1,85,#Bardolph_1H4,0,0,5,1
5,1,85,#SERVANTS.FALSTAFF.1_2H4,0,0,5,1
5,2,90,#Blunt_2H4,0,0,822,105
5,3,91,#Bardolph_1H4,0,0,212,29
5,3,91,#SERVANTS.FALSTAFF.1_2H4,0,0,212,29
5,3,92,#Bardolph_1H4,0,0,67,11
5,3,92,#SERVANTS.FALSTAFF.1_2H4,0,0,67,11
5,3,93,#SERVANTS.FALSTAFF.1_2H4,0,0,198,31
5,3,94,#Bardolph_1H4,0,0,33,8
5,3,94,#SERVANTS.FALSTAFF.1_2H4,0,0,33,8
5,3,94,#Shallow_2H4,0,0,33,8
5,3,95,#Bardolph_1H4,0,0,21,3
5,3,95,#SERVANTS.FALSTAFF.1_2H4,0,0,21,3
5,3,95,#Shallow_2H4,0,0,21,3
5,3,95,#Silence_2H4,0,0,21,3
5,3,96,#Davy_2H4,0,0,430,62
5,3,96,#SERVANTS.FALSTAFF.1_2H4,0,0,430,62
5,4,97,#BEADLES_2H4,0,0,26,3
5,4,97,#DollTearsheet_2H4,0,0,26,3
5,4,98,#BEADLES_2H4,0,0,209,29
5,5,100,#Bardolph_1H4,0,0,251,34
5,5,100,#SERVANTS.FALSTAFF.1_2H4,0,0,251,34
5,5,101,#ATTENDANTS_2H4,0,0,271,35
5,5,101,#Bardolph_1H4,0,0,271,35
5,5,101,#SERVANTS.FALSTAFF.1_2H4,0,0,271,35
5,5,101,#Shallow_2H4,0,0,271,35
5,5,102,#Bardolph_1H4,0,0,149,18
5,5,102,#Pistol_2H4,0,0,149,18
5,5,102,#SERVANTS.FALSTAFF.1_2H4,0,0,149,18
5,5,103,#Bardolph_1H4,0,0,38,6
5,5,103,#Bedford_H5,0,0,38,6
5,5,103,#OFFICERS_2H4,0,0,38,6
5,5,103,#SERVANTS.FALSTAFF.1_2H4,0,0,38,6
5,5,103,#Shallow_2H4,0,0,38,6
