act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
3,1,42,#EdwardV_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3 #York_R3,96,12
3,1,42,#RichardIII_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3 #York_R3,122,17
3,1,42,#York_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3 #York_R3,192,24
3,1,43,#Buckingham_R3,#ATTENDANTS.0_R3 #Buckingham_R3 #Catesby_R3 #RichardIII_R3,193,25
3,1,43,#Catesby_R3,#ATTENDANTS.0_R3 #Buckingham_R3 #Catesby_R3 #RichardIII_R3,42,5
3,1,43,#RichardIII_R3,#ATTENDANTS.0_R3 #Buckingham_R3 #Catesby_R3 #RichardIII_R3,81,10
3,1,44,#Buckingham_R3,#ATTENDANTS.0_R3 #Buckingham_R3 #RichardIII_R3,26,3
3,1,44,#RichardIII_R3,#ATTENDANTS.0_R3 #Buckingham_R3 #RichardIII_R3,57,7
3,2,45,#MESSENGERS.X.2_R3,#MESSENGERS.X.2_R3,4,1
3,2,46,#Hastings_3H6,#Hastings_3H6 #MESSENGERS.X.2_R3,136,19
3,2,46,#MESSENGERS.X.2_R3,#Hastings_3H6 #MESSENGERS.X.2_R3,114,15
3,2,47,#Catesby_R3,#Catesby_R3 #Hastings_3H6,117,15
3,2,47,#Hastings_3H6,#Catesby_R3 #Hastings_3H6,189,23
3,2,48,#Hastings_3H6,#Catesby_R3 #Hastings_3H6 #Stanley_R3,81,9
3,2,48,#Stanley_R3,#Catesby_R3 #Hastings_3H6 #Stanley_R3,108,13
3,2,49,#Hastings_3H6,#Catesby_R3 #Hastings_3H6 #Pursuivant_R3 #Stanley_R3,9,1
3,2,50,#Hastings_3H6,#Hastings_3H6 #Pursuivant_R3,76,9
3,2,50,#Pursuivant_R3,#Hastings_3H6 #Pursuivant_R3,20,3
3,2,51,#Hastings_3H6,#Hastings_3H6 #SirJohn_R3,28,3
3,2,51,#SirJohn_R3,#Hastings_3H6 #SirJohn_R3,16,2
3,2,52,#Buckingham_R3,#Buckingham_R3 #Hastings_3H6,53,7
3,2,52,#Hastings_3H6,#Buckingham_R3 #Hastings_3H6,37,5
3,3,53,#Grey_R3,#GUARDS_R3 #Grey_R3 #Ratcliffe_R3 #Rivers_3H6 #Vaughan_R3,41,5
3,3,53,#Ratcliffe_R3,#GUARDS_R3 #Grey_R3 #Ratcliffe_R3 #Rivers_3H6 #Vaughan_R3,16,2
3,3,53,#Rivers_3H6,#GUARDS_R3 #Grey_R3 #Ratcliffe_R3 #Rivers_3H6 #Vaughan_R3,131,18
3,3,53,#Vaughan_R3,#GUARDS_R3 #Grey_R3 #Ratcliffe_R3 #Rivers_3H6 #Vaughan_R3,9,1
3,4,54,#BishopOfEly_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,16,3
3,4,54,#Buckingham_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,60,7
3,4,54,#Hastings_3H6,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,81,10
3,4,54,#Stanley_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,6,1
3,4,55,#BishopOfEly_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,17,2
3,4,55,#Buckingham_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,25,3
3,4,55,#RichardIII_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,77,9
3,4,56,#Buckingham_R3,#ATTENDANTS_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,7,1
3,4,56,#RichardIII_R3,#ATTENDANTS_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,45,6
3,4,57,#Stanley_R3,#ATTENDANTS_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,34,4
3,4,58,#BishopOfEly_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,14,2
3,4,58,#Hastings_3H6,#ATTENDANTS_R3 #BishopOfEly_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,71,9
3,4,58,#Stanley_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #Stanley_R3,15,2
3,4,59,#Hastings_3H6,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,41,5
3,4,59,#RichardIII_R3,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3,130,16
3,4,60,#Hastings_3H6,#Hastings_3H6 #Lovell_R3 #Ratcliffe_R3,196,25
3,4,60,#Lovell_R3,#Hastings_3H6 #Lovell_R3 #Ratcliffe_R3,7,1
3,4,60,#Ratcliffe_R3,#Hastings_3H6 #Lovell_R3 #Ratcliffe_R3,19,3
3,5,61,#Buckingham_R3,#Buckingham_R3 #RichardIII_R3,55,8
3,5,61,#RichardIII_R3,#Buckingham_R3 #RichardIII_R3,42,6
3,5,62,#Buckingham_R3,#Buckingham_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3,5,2
3,5,62,#RichardIII_R3,#Buckingham_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3,9,2
3,5,63,#Buckingham_R3,#Buckingham_R3 #MayorOfLondon_R3 #RichardIII_R3,15,2
3,5,63,#RichardIII_R3,#Buckingham_R3 #MayorOfLondon_R3 #RichardIII_R3,7,1
3,5,64,#Buckingham_R3,#Buckingham_R3 #Lovell_R3 #MayorOfLondon_R3 #Ratcliffe_R3 #RichardIII_R3,168,22
